Index,Outer Diameter(m),Core Diameter Percentage(%),Beam Height(m),Beam Starting Width(m),Radial Limit Percentage(%),Circle Amount,Force(kN/m2),Concrete Volume(m3),Deflection Nodal Hybrid(m),Deflection Linear Hybrid(m),Deflection Avg Hybrid (m),Deflection Nodal Web(m),Deflection Linear Web(m),Deflection Avg Web (m),Deflection Nodal Waffle(m),Deflection Linear Waffle(m),Deflection Avg Waffle (m),Deflection Areal Concrete(m),Material Efficiency Hybrid (m/m3),Material Efficiency Web (m/m3),Material Efficiency Waffle (m/m3),Material Efficiency Areal Concrete (m/m3)
89,30,13.4,1.0,0.5,3,14,10.0,867,0.037,0.039,0.0382,0.041,0.046,0.044,0.075,0.078,0.07680000000000001,0.015,4.405997693194925e-05,5.074971164936563e-05,8.858131487889275e-05,1.7301038062283735e-05
90,30,13.5,1.0,0.5,3,14,10.0,882,0.037,0.039,0.0382,0.04,0.046,0.0436,0.075,0.077,0.07619999999999999,0.014,4.331065759637188e-05,4.943310657596372e-05,8.639455782312924e-05,1.5873015873015872e-05
91,30,13.6,1.0,0.5,3,14,10.0,881,0.037,0.039,0.0382,0.04,0.046,0.0436,0.074,0.077,0.0758,0.014,4.335981838819523e-05,4.9489216799091944e-05,8.603859250851306e-05,1.5891032917139613e-05
92,30,13.7,1.0,0.5,3,14,10.0,883,0.037,0.039,0.0382,0.04,0.046,0.0436,0.074,0.077,0.0758,0.014,4.326160815402038e-05,4.9377123442808606e-05,8.584371460928652e-05,1.5855039637599094e-05
93,30,13.8,1.0,0.5,3,14,10.0,911,0.038,0.04,0.0392,0.04,0.045,0.043,0.073,0.075,0.0742,0.013,4.302963776070252e-05,4.720087815587266e-05,8.14489571899012e-05,1.4270032930845224e-05
94,30,13.9,1.0,0.5,3,14,10.0,910,0.038,0.04,0.0392,0.04,0.045,0.043,0.072,0.075,0.0738,0.013,4.307692307692308e-05,4.725274725274725e-05,8.10989010989011e-05,1.4285714285714285e-05
95,30,14.0,1.0,0.5,3,14,10.0,909,0.037,0.039,0.0382,0.039,0.045,0.0426,0.072,0.075,0.0738,0.013,4.202420242024202e-05,4.6864686468646864e-05,8.118811881188119e-05,1.43014301430143e-05
96,30,14.1,1.0,0.5,3,14,10.0,924,0.037,0.039,0.0382,0.04,0.045,0.043,0.071,0.074,0.07279999999999999,0.013,4.134199134199134e-05,4.653679653679653e-05,7.878787878787877e-05,1.4069264069264069e-05
97,30,14.2,1.0,0.5,3,14,10.0,923,0.037,0.039,0.0382,0.04,0.045,0.043,0.071,0.074,0.07279999999999999,0.013,4.138678223185265e-05,4.6587215601300105e-05,7.88732394366197e-05,1.408450704225352e-05
98,30,14.3,1.0,0.5,3,14,10.0,922,0.037,0.039,0.0382,0.04,0.045,0.043,0.071,0.073,0.0722,0.013,4.143167028199566e-05,4.663774403470716e-05,7.830802603036876e-05,1.4099783080260302e-05
